posting_date,entry_type,document_type,document_no,document_line_no,item_no,variant_code,description,document_created_at,branch_representative,project,return_reason_code,location_code,lot_no,expiration_date,serial_no,quantity,invoiced_quantity,remaining_quantity,shipped_qty_not_returned,reserved_quantity,open,order_type,entry_no,source_file,import_period,created_at,updated_at
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0024,60000,TF4D2,,,2026-09-01,CAB01-JKT,,,MDN-PAR,041126BKS,2031-03-31,,600,600,600,0,0,True,Transfer,3460919,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0024,50000,HD PACK-2B,,,2026-09-01,CAB01-JKT,,,MDN-PAR,OP3/5391,2031-07-31,,1000,1000,1000,0,0,True,Transfer,3460917,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0024,40000,A133-V702,,,2026-09-01,CAB01-JKT,,,MDN-PAR,26F20,2031-05-31,,144,144,144,0,0,True,Transfer,3460915,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0024,30000,PR-325278-KIT,,,2026-09-01,CAB01-JKT,,,MDN-PAR,F053054R,2030-12-09,,15,15,15,0,0,True,Transfer,3460913,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,20000,ELISIO1-15H,,,2026-09-01,CAB01-JKT,,,MDN-PAR,26B03CHR,2029-01-31,,4680,4680,4680,0,0,True,Transfer,3460895,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0715-01,2028-07-15,,142,142,142,0,0,True,Transfer,3460893,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-11,2028-07-14,,960,960,960,0,0,True,Transfer,3460891,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-12,2028-07-14,,160,160,160,0,0,True,Transfer,3460889,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-10,2028-07-14,,161,161,161,0,0,True,Transfer,3460887,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-13,2028-07-14,,960,960,960,0,0,True,Transfer,3460885,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-08,2028-07-14,,960,960,960,0,0,True,Transfer,3460883,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-07,2028-07-14,,960,960,960,0,0,True,Transfer,3460881,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-09,2028-07-14,,960,960,960,0,0,True,Transfer,3460879,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-05,2028-07-14,,960,960,960,0,0,True,Transfer,3460877,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-04,2028-07-14,,160,160,160,0,0,True,Transfer,3460875,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-06,2028-07-14,,960,960,960,0,0,True,Transfer,3460873,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-03,2028-07-14,,160,160,160,0,0,True,Transfer,3460871,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-02,2028-07-14,,160,160,160,0,0,True,Transfer,3460869,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-09-01,Transfer,Transfer Receipt,PTR-2609-0023,10000,FG-SC-002,,,2026-09-01,CAB01-JKT,,,MDN-PAR,J-26-0714-01,2028-07-14,,337,337,337,0,0,True,Transfer,3460867,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-08-31,Transfer,Transfer Receipt,PTR-2608-0946,10000,AK1-10L,,,2026-08-31,CAB01-JKT,,,MDN-PAR,J-26-0623-10,2028-06-23,,570,570,570,0,0,True,Transfer,3457229,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-08-31,Transfer,Transfer Receipt,PTR-2608-0946,10000,AK1-10L,,,2026-08-31,CAB01-JKT,,,MDN-PAR,J-26-0622-10,2028-06-22,,639,639,639,0,0,True,Transfer,3457227,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-08-31,Transfer,Transfer Receipt,PTR-2608-0946,10000,AK1-10L,,,2026-08-31,CAB01-JKT,,,MDN-PAR,J-26-0622-7,2028-06-22,,641,641,641,0,0,True,Transfer,3457225,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-08-27,Transfer,Transfer Receipt,PTR-2608-0855,40000,DS50LS-R-N,,,2026-08-27,CAB01-JKT,,,MDN-PAR,26F0701J,2031-05-31,,31320,31320,31320,0,0,True,Transfer,3453848,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-08-27,Transfer,Transfer Receipt,PTR-2608-0855,40000,DS50LS-R-N,,,2026-08-27,CAB01-JKT,,,MDN-PAR,26F0701J,2031-05-31,,10800,10800,10800,0,0,True,Transfer,3453847,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-08-27,Transfer,Transfer Receipt,PTR-2608-0855,40000,DS50LS-R-N,,,2026-08-27,CAB01-JKT,,,MDN-PAR,26F0701J,2031-05-31,,1440,1440,1440,0,0,True,Transfer,3453846,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-08-27,Transfer,Transfer Receipt,PTR-2608-0855,30000,AVF1625-HC-N,,,2026-08-27,CAB01-JKT,,,MDN-PAR,26G0606J,2031-06-30,,15000,15000,15000,0,0,True,Transfer,3453844,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
2026-08-27,Transfer,Transfer Receipt,PTR-2608-0855,30000,AVF1625-HC-N,,,2026-08-27,CAB01-JKT,,,MDN-PAR,26G0306J,2031-06-30,,9000,9000,9000,0,0,True,Transfer,3453842,receiving_detail.xlsx,2026-09,2026-09-03T06:40:33.737466,2026-09-03T06:40:33.737466
