ptr_no,transfer_order_no,transfer_from_code,transfer_to_code,posting_date,shipment_date,receipt_date,shipping_agent_code,ship_to_receipt_days,receipt_to_posting_days,ship_to_posting_days,source_file,import_period,created_at,updated_at
PTR-2609-0024,TO-2608-0203,JKT-JP12,MDN-PAR,2026-09-01,2026-08-12,2026-08-28,SA-0062,16,4,20,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2609-0023,TO-2608-0414,JKT-JP12,MDN-PAR,2026-09-01,2026-08-12,2026-09-02,SA-0049,21,-1,20,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2608-0946,TO-2608-0337,JKT-CKPA,MDN-PAR,2026-08-31,2026-08-11,2026-09-01,SA-0049,21,-1,20,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2608-0855,TO-2608-0899,JKT-JP12,MDN-PAR,2026-08-27,2026-08-27,2026-08-27,SA-0049,0,0,0,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2608-0801,TO-2608-0041,JKT-JP12,MDN-PAR,2026-08-26,2026-08-06,2026-08-24,SA-0062,18,2,20,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2608-0771,TO-2607-1116,JKT-JP12,MDN-PAR,2026-08-24,2026-07-31,2026-07-31,SA-0049,0,24,24,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2608-0624,TO-2608-0076,JKT-CKPA,MDN-PAR,2026-08-20,2026-08-04,2026-08-05,SA-0049,1,15,16,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2608-0221,TO-2607-0791,JKT-JP12,MDN-PAR,2026-08-10,2026-07-23,2026-08-13,SA-0049,21,-3,18,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2608-0208,TO-2607-0840,JKT-CKPA,MDN-PAR,2026-08-07,2026-07-24,2026-08-14,SA-0049,21,-7,14,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2608-0204,TO-2607-0618,JKT-JP12,MDN-PAR,2026-08-07,2026-07-23,2026-08-07,SA-0049,15,0,15,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2608-0106,TO-2607-0719,JKT-CKPA,MDN-PAR,2026-08-05,2026-07-22,2026-08-12,SA-0049,21,-7,14,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-1066,TO-2607-1081,JKT-JP12,MDN-PAR,2026-07-30,2026-07-30,2026-07-30,SA-0049,0,0,0,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-1032,TO-2607-0468,JKT-JP12,MDN-PAR,2026-07-30,2026-07-14,2026-07-15,SA-0049,1,15,16,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-1018,TO-2607-0512,JKT-JP12,MDN-PAR,2026-07-29,2026-07-15,2026-08-05,SA-0062,21,-7,14,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-1017,TO-2607-0533,JKT-JP12,MDN-PAR,2026-07-29,2026-07-15,2026-08-05,SA-0049,21,-7,14,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-0772,TO-2607-0100,JKT-JP12,MDN-PAR,2026-07-23,2026-07-08,2026-07-23,SA-0062,15,0,15,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-0771,TO-2607-0284,JKT-JP12,MDN-PAR,2026-07-23,2026-07-08,2026-07-29,SA-0062,21,-6,15,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-0773,TO-2607-0226,JKT-JP12,MDN-PAR,2026-07-23,2026-07-07,2026-07-28,SA-0062,21,-5,16,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-0630,TO-2606-1024,JKT-CKPA,MDN-PAR,2026-07-20,2026-06-30,2026-07-21,SA-0049,21,-1,20,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-0410,TO-2606-1059,JKT-JP12,MDN-PAR,2026-07-13,2026-06-30,2026-06-30,SA-0049,0,13,13,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-0412,TO-2606-0942,JKT-JP12,MDN-PAR,2026-07-13,2026-06-26,2026-06-26,SA-0049,0,17,17,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-0411,TO-2606-0796,JKT-JP12,MDN-PAR,2026-07-13,2026-06-26,2026-07-14,SA-0062,18,-1,17,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-0245,TO-2607-0168,JKT-JP12,MDN-PAR,2026-07-08,2026-07-06,2026-07-06,SA-0092,0,2,2,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-0181,TO-2606-0717,JKT-CKPA,MDN-PAR,2026-07-06,2026-06-22,2026-07-13,SA-0049,21,-7,14,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
PTR-2607-0072,TO-2607-0077,V-CUS,MDN-PAR,2026-07-02,2026-07-02,2026-07-02,SA-0044,0,0,0,ptrheader.xlsx,2026-09,2026-09-02T21:56:13.674915,2026-09-02T21:56:13.674915
